"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Chemical Synaptic Transmission (GO:0007268)","79/273",2.1253333394011e-11,8.97315735895145e-08,0,0,2.63449490001054,64.7414143293172,"CHRM3;SNAP25;GRIK4;GRIK2;HTR4;SLC6A2;CDH8;GABRR3;GABRR2;GRM2;GRM4;GRM7;MPZ;KIF5A;BSN;ERC2;CHRNB2;CHRNB4;UNC13A;HTR3A;HTR3B;SYN3;GABRG3;SYN2;GABRG2;SHISA6;CACNB1;CACNB3;CACNB4;MTNR1B;SNPH;KCNQ3;UTS2;RAPSN;CHRNA1;BRSK1;GRIA2;CHRNA3;NLGN1;CHRNA5;SLC1A3;LPAR3;CACNA1E;CPLX1;CHRND;GRIN2A;GALR3;KCNN1;SNCG;NPTX1;GABRE;NPTX2;GABRD;DRD4;GABRA2;GABRQ;SYT5;GABBR2;NQO1;DTNA;SLC12A5;GAD1;GABRA3;HTR1D;GRIN2C;PCDHB11;PCDHB10;GRIN2D;GRIN1;GRIN3B;PCDHB2;SLC6A9;PCDHB16;PCDHB6;RIMBP3;MYCBPAP;PCDHB3;PCDHB9;CBLN1","BP","Up",0.289377289377289,8.97315735895145e-08,79
"Extracellular Matrix Organization (GO:0030198)","57/176",1.16220910675877e-10,2.45342342436775e-07,0,0,3.08673480657753,70.6106895259241,"COLGALT2;LOXL4;PLOD3;SCX;CTSV;LAMC1;LOXL2;MMP24;IBSP;CREB3L1;SH3PXD2B;COL10A1;PRSS2;ADAMTS6;POSTN;MMP7;MMP1;APLP1;SPINK5;MMP3;P3H4;NPNT;MMP9;MMP10;ADAMTS20;MMP12;MMP11;MMP14;CCDC80;COL2A1;ADAM15;COL4A2;LOX;SPINT1;COL4A1;MMP17;COL4A6;COL4A5;COL8A1;MATN3;COL15A1;COL11A1;KLK4;CAPG;ADAMTS16;ADAMTS14;ADAMTS18;SERPINH1;COL24A1;COL22A1;COL1A1;COL1A2;COL5A3;COL7A1;COL9A1;TLL2;COL9A2","BP","Up",0.323863636363636,2.45342342436775e-07,57
"Anterograde Trans-Synaptic Signaling (GO:0098916)","61/199",3.25771750902951e-10,4.23921710587797e-07,0,0,2.8496656147293,62.2504441841705,"CHRM3;SNAP25;GRIK4;GRIK2;HTR4;SLC6A2;GABRR3;GABRR2;GRM2;GRM4;GRM7;MPZ;KIF5A;BSN;CHRNB2;CHRNB4;HTR3A;HTR3B;SYN2;CACNB1;CACNB3;CACNB4;MTNR1B;KCNQ3;UTS2;RAPSN;CHRNA1;GRIA2;CHRNA3;NLGN1;CHRNA5;SLC1A3;LPAR3;CACNA1E;CPLX1;CHRND;GRIN2A;GALR3;KCNN1;SNCG;NPTX1;NPTX2;GABRD;DRD4;GABRQ;SYT5;GABBR2;DTNA;SLC12A5;GAD1;HTR1D;PCDHB11;PCDHB10;GRIN1;PCDHB2;PCDHB16;PCDHB6;MYCBPAP;PCDHB3;PCDHB9;CBLN1","BP","Up",0.306532663316583,4.23921710587797e-07,61
"External Encapsulating Structure Organization (GO:0045229)","41/110",4.01631180092655e-10,4.23921710587797e-07,0,0,3.81740428777772,82.5914005017975,"COL15A1;COL11A1;ADAMTS16;ADAMTS14;MMP24;IBSP;ADAMTS18;COL10A1;TGM3;ADAMTS6;POSTN;MMP7;COL24A1;MMP1;COL22A1;APLP1;SPINK5;MMP3;NPNT;MMP9;MMP10;HRNR;ADAMTS20;COL1A1;MMP12;MMP11;MMP14;CCDC80;COL1A2;COL4A2;SPINT1;COL4A1;COL5A3;COL7A1;MMP17;COL4A6;COL9A1;COL4A5;COL8A1;COL9A2;MATN3","BP","Up",0.372727272727273,4.23921710587797e-07,41
"Extracellular Structure Organization (GO:0043062)","39/109",4.16692139063733e-09,3.51854842225416e-06,0,0,3.57643736345713,69.0112513414423,"COL15A1;COL11A1;ADAMTS16;ADAMTS14;MMP24;IBSP;ADAMTS18;COL10A1;ADAMTS6;POSTN;MMP7;COL24A1;MMP1;COL22A1;APLP1;SPINK5;MMP3;NPNT;MMP9;MMP10;ADAMTS20;COL1A1;MMP12;MMP11;MMP14;CCDC80;COL1A2;COL4A2;SPINT1;COL4A1;COL5A3;COL7A1;MMP17;COL4A6;COL9A1;COL4A5;COL8A1;COL9A2;MATN3","BP","Up",0.357798165137615,3.51854842225416e-06,39
"DNA Unwinding Involved In DNA Replication (GO:0006268)","14/20",1.24116106062707e-08,8.73363666327916e-06,0,0,14.8950480413895,271.158890010432,"GINS1;GINS2;MCM7;GINS3;GINS4;HMGA1;RECQL4;CDC45;RAD51;MCM3;MCM4;MCM5;MCM6;MCM2","BP","Up",0.7,8.73363666327916e-06,14
"Double-Strand Break Repair Via Break-Induced Replication (GO:0000727)","10/11",2.05768667616853e-08,1.24107902096908e-05,0,0,63.760147601476,1128.49712415849,"GINS2;MCM7;MCMDC2;GINS4;MCM3;MCM4;CDC7;MCM5;MCM6;MCM2","BP","Up",0.909090909090909,1.24107902096908e-05,10
"DNA-templated DNA Replication (GO:0006261)","28/69",2.73578681888643e-08,1.44381149366731e-05,0,0,4.37331932011742,76.1581269820696,"PRIM2;BLM;MCM7;PRIM1;MCM10;RECQL4;CDC45;ORC6;ORC1;POLD1;GINS1;WDHD1;GINS2;RFC3;RFC4;GINS3;GINS4;HMGA1;POLA2;RAD51;POLG2;POLE2;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2","BP","Up",0.405797101449275,1.44381149366731e-05,28
"Monoatomic Cation Transmembrane Transport (GO:0098655)","72/281",4.76730754423936e-08,2.23639693908651e-05,0,0,2.22089073273681,37.4417726743994,"KCNG1;KCNG2;KCNC1;KCNK9;KCNC2;ATP2A1;SLC6A2;SLC6A3;SLC9C2;SLC8A2;SCN5A;SLC39A1;SLC39A4;KCNH2;SLC36A1;KCNH3;KCNH4;KCNH5;TRPC6;KCNK10;SLC6A17;KCNH6;SLC30A3;TRPC3;SLC30A2;ABCC8;TRPC4;KCNK12;SLC6A14;SLC39A10;SLC6A11;CACNB1;SLC9A2;SLC9A3;KCNQ3;SLC29A4;CNGB3;SCN4A;SCN4B;HCN4;HCN3;SLC1A3;ATP1A2;CACNA1C;LRRC52;CACNA1G;GRIN2A;ASIC5;KCNN1;KCNN3;CACNA1S;CACNG1;TRPM6;ASIC3;ATP6V1C1;TRPM3;ASIC1;KCNF1;MCOLN3;KCNJ11;SLC12A1;SLC4A11;GRIN2C;GRIN2D;GRIN1;ATP4A;SLC6A7;SLC6A8;SLC6A9;FXYD2;NOX5;HCN2","BP","Up",0.256227758007117,2.23639693908651e-05,72
"Inorganic Cation Transmembrane Transport (GO:0098662)","71/284",1.6683245395067e-07,5.51711712338904e-05,0,0,2.14760286900717,33.5160826780831,"KCNG1;KCNG2;KCNC1;KCNK9;KCNC2;AQP8;ATP2A1;SLC6A2;SLC6A3;SLC9C2;SLC8A2;SCN5A;SLC39A1;SLC39A4;KCNH2;SLC36A1;KCNH3;KCNH4;KCNH5;TRPC6;KCNK10;SLC6A17;KCNH6;SLC30A3;TRPC3;SLC30A2;ABCC8;TRPC4;KCNK12;SLC6A14;SLC39A10;SLC6A11;HTR3A;HTR3B;CACNB1;SLC9A2;SLC9A3;KCNQ3;SCN4A;RHCG;SCN4B;HCN4;HCN3;SLC1A3;ATP1A2;CACNA1C;LRRC52;CACNA1G;ASIC5;KCNN1;KCNN3;CACNA1S;CACNG1;TRPM6;RHBG;ASIC3;ATP6V1C1;TRPM3;ASIC1;KCNF1;MCOLN3;KCNJ11;SLC12A1;SLC4A11;ATP4A;SLC6A7;SLC6A8;SLC6A9;FXYD2;NOX5;HCN2","BP","Up",0.25,5.51711712338904e-05,71
