"gene","importance","ENSEMBL","SYMBOL"
"ENSG00000151012.13",0.00282604286111949,"ENSG00000151012","SLC7A11"
"ENSG00000138100.14",0.00279329379428574,"ENSG00000138100","TRIM54"
"ENSG00000118785.14",0.00233677672346292,"ENSG00000118785","SPP1"
"ENSG00000112164.6",0.00213330367318996,"ENSG00000112164","GLP1R"
"ENSG00000189064.8",0.00212159307746929,"ENSG00000189064","GAGE2A"
"ENSG00000176956.13",0.00190984889519922,"ENSG00000176956","LY6H"
"ENSG00000169297.8",0.00186487777630983,"ENSG00000169297","NR0B1"
"ENSG00000181019.13",0.00174487255420402,"ENSG00000181019","NQO1"
"ENSG00000043355.12",0.00171613091313121,"ENSG00000043355","ZIC2"
"ENSG00000113249.13",0.00168392464598646,"ENSG00000113249","HAVCR1"
"ENSG00000068985.5",0.00146919473515825,"ENSG00000068985","PAGE1"
"ENSG00000153779.11",0.00139725182495166,"ENSG00000153779","TGIF2LX"
"ENSG00000138798.13",0.00139178795288651,"ENSG00000138798","EGF"
"ENSG00000143228.13",0.0013415412451302,"ENSG00000143228","NUF2"
"ENSG00000112818.10",0.00130239790218689,"ENSG00000112818","MEP1A"
"ENSG00000130720.13",0.00118265948491281,"ENSG00000130720","FIBCD1"
"ENSG00000175063.17",0.00114727612816402,"ENSG00000175063","UBE2C"
"ENSG00000137251.16",0.00107488827976335,"ENSG00000137251","TINAG"
"ENSG00000165606.9",0.00106223457662286,"ENSG00000165606","DRGX"
"ENSG00000198759.12",0.000954400348662362,"ENSG00000198759","EGFL6"
"ENSG00000171502.15",0.000930063525509604,"ENSG00000171502","COL24A1"
"ENSG00000168243.11",0.000905856087677964,"ENSG00000168243","GNG4"
"ENSG00000117148.8",0.00086216883321824,"ENSG00000117148","ACTL8"
"ENSG00000223802.8",0.000852526202199322,"ENSG00000223802","CERS1"
"ENSG00000122133.17",0.000836847706263397,"ENSG00000122133","PAEP"
"ENSG00000226372.4",0.000804460475421957,"ENSG00000226372","DCAF8L1"
"ENSG00000154839.10",0.000765672078695864,"ENSG00000154839","SKA1"
